Number,Name,Gender,Eye Color,Race,Hair Color,Height in cm,Publisher,Skin Color,Alignment,Weight in kg
275,Garbage Man,Male,-,Mutant,-,,DC Comics,-,good,
276,Gary Bell,Male,-,Alpha,-,,SyFy,-,good,
277,General Zod,Male,black,Kryptonian,Black,,DC Comics,-,bad,
278,Genesis,Male,blue,-,Blond,185,Marvel Comics,-,good,86
279,Ghost Rider,Male,red,Demon,No Hair,188,Marvel Comics,-,good,99
280,Ghost Rider II,-,-,-,-,,Marvel Comics,-,good,
281,Giant-Man,Male,-,Human,-,,Marvel Comics,-,good,
282,Giant-Man II,Male,-,-,-,,Marvel Comics,-,good,
283,Giganta,Female,green,-,Red,62.5,DC Comics,-,bad,630
284,Gladiator,Male,blue,Strontian,Blue,198,Marvel Comics,purple,neutral,268
285,Goblin Queen,Female,green,-,Red,168,Marvel Comics,-,bad,50
286,Godzilla,-,-,Kaiju,-,108,,grey,bad,
287,Gog,Male,-,-,-,,DC Comics,-,bad,
288,Goku,Male,-,Saiyan,-,175,Shueisha,-,good,62
289,Goliath,Male,-,-,-,,Marvel Comics,-,good,
290,Goliath,Male,-,Human,-,,Marvel Comics,-,good,
291,Goliath,Male,-,Human,-,,Marvel Comics,-,good,
292,Goliath IV,Male,brown,-,Black,183,Marvel Comics,-,good,90
293,Gorilla Grodd,Male,yellow,Gorilla,Black,198,DC Comics,-,bad,270
294,Granny Goodness,Female,blue,-,White,178,DC Comics,-,bad,115
295,Gravity,Male,blue,Human,Brown,178,Marvel Comics,-,good,79
296,Greedo,Male,purple,Rodian,-,170,George Lucas,green,bad,
297,Green Arrow,Male,green,Human,Blond,188,DC Comics,-,good,88
298,Green Goblin,Male,blue,Human,Auburn,180,Marvel Comics,-,bad,83
299,Green Goblin II,Male,blue,-,Auburn,178,Marvel Comics,-,bad,77
300,Green Goblin III,Male,-,-,-,183,Marvel Comics,-,good,88
301,Green Goblin IV,Male,green,-,Brown,178,Marvel Comics,-,good,79
302,Groot,Male,yellow,Flora Colossus,-,701,Marvel Comics,-,good,4
303,Guardian,Male,brown,Human,Black,,Marvel Comics,-,good,
304,Guy Gardner,Male,blue,Human-Vuldarian,Red,188,DC Comics,-,good,95
305,Hal Jordan,Male,brown,Human,Brown,188,DC Comics,-,good,90
306,Han Solo,Male,brown,Human,Brown,183,George Lucas,-,good,79
307,Hancock,Male,brown,Human,Black,188,Sony Pictures,-,good,
308,Harley Quinn,Female,blue,Human,Blond,170,DC Comics,-,bad,63
309,Harry Potter,Male,green,Human,Black,,J. K. Rowling,-,good,
310,Havok,Male,blue,Mutant,Blond,183,Marvel Comics,-,good,79
311,Hawk,Male,red,-,Brown,185,DC Comics,-,good,89
312,Hawkeye,Male,blue,Human,Blond,191,Marvel Comics,-,good,104
313,Hawkeye II,Female,blue,Human,Black,165,Marvel Comics,-,good,57
314,Hawkgirl,Female,green,-,Red,175,DC Comics,-,good,61
315,Hawkman,Male,blue,-,Brown,185,DC Comics,-,good,88
316,Hawkwoman,Female,green,-,Red,175,DC Comics,-,good,54
317,Hawkwoman II,Female,-,-,-,,DC Comics,-,good,
318,Hawkwoman III,Female,blue,-,Red,170,DC Comics,-,good,65
319,Heat Wave,Male,blue,Human,No Hair,180,DC Comics,-,bad,81
320,Hela,Female,green,Asgardian,Black,213,Marvel Comics,-,bad,225
321,Hellboy,Male,gold,Demon,Black,259,Dark Horse Comics,-,good,158
322,Hellcat,Female,blue,Human,Red,173,Marvel Comics,-,good,61
323,Hellstorm,Male,red,-,Red,185,Marvel Comics,-,good,81
324,Hercules,Male,blue,Demi-God,Brown,196,Marvel Comics,-,good,146
325,Hiro Nakamura,Male,-,-,-,,NBC - Heroes,-,good,
326,Hit-Girl,Female,-,Human,-,,Icon Comics,-,good,
327,Hobgoblin,Male,blue,-,Grey,180,Marvel Comics,-,bad,83
328,Hollow,Female,blue,-,Red,170,Marvel Comics,-,good,
329,Hope Summers,Female,green,-,Red,168,Marvel Comics,-,good,48
330,Howard the Duck,Male,brown,-,Yellow,79,Marvel Comics,-,good,18
331,Hulk,Male,green,Human / Radiation,Green,244,Marvel Comics,green,good,630
332,Human Torch,Male,blue,Human / Radiation,Blond,178,Marvel Comics,-,good,77
333,Huntress,Female,blue,-,Black,180,DC Comics,-,good,59
334,Husk,Female,blue,Mutant,Blond,170,Marvel Comics,-,good,58
335,Hybrid,Male,brown,Symbiote,Black,175,Marvel Comics,-,good,77
336,Hydro-Man,Male,brown,-,Brown,188,Marvel Comics,-,bad,119
337,Hyperion,Male,blue,Eternal,Red,183,Marvel Comics,-,good,207
338,Iceman,Male,brown,Mutant,Brown,173,Marvel Comics,-,good,65
339,Impulse,Male,yellow,Human,Auburn,170,DC Comics,-,good,65
340,Indiana Jones,Male,-,Human,-,183,George Lucas,-,good,79
341,Indigo,Female,-,Alien,Purple,,DC Comics,-,neutral,
342,Ink,Male,blue,Mutant,No Hair,180,Marvel Comics,-,good,81
343,Invisible Woman,Female,blue,Human / Radiation,Blond,168,Marvel Comics,-,good,54
344,Iron Fist,Male,blue,Human,Blond,180,Marvel Comics,-,good,79
345,Iron Man,Male,blue,Human,Black,198,Marvel Comics,-,good,191
346,Iron Monger,Male,blue,-,No Hair,,Marvel Comics,-,bad,2
347,Isis,Female,-,-,-,,DC Comics,-,good,
348,Jack Bauer,Male,-,-,-,,,-,good,
349,Jack of Hearts,Male,blue / white,Human,Brown,155,Marvel Comics,-,good,79
350,Jack-Jack,Male,blue,Human,Brown,71,Dark Horse Comics,-,good,14
351,James Bond,Male,blue,Human,Blond,183,Titan Books,-,good,
352,James T. Kirk,Male,hazel,Human,Brown,178,Star Trek,-,good,77
353,Jar Jar Binks,Male,yellow,Gungan,-,193,George Lucas,orange / white,good,
354,Jason Bourne,Male,-,Human,-,,,-,good,
355,Jean Grey,Female,green,Mutant,Red,168,Marvel Comics,-,good,52
356,Jean-Luc Picard,Male,-,Human,-,,Star Trek,-,good,
357,Jennifer Kale,Female,blue,-,Blond,168,Marvel Comics,-,good,55
358,Jesse Quick,Female,-,Human,-,,DC Comics,-,good,
359,Jessica Cruz,Female,green,Human,Brown,,DC Comics,-,good,
360,Jessica Jones,Female,brown,Human,Brown,170,Marvel Comics,-,good,56
361,Jessica Sanders,Female,-,-,-,,NBC - Heroes,-,good,
362,Jigsaw,Male,blue,-,Black,188,Marvel Comics,-,bad,113
363,Jim Powell,Male,-,-,-,,ABC Studios,-,good,
364,JJ Powell,Male,-,-,-,,ABC Studios,-,good,
365,Johann Krauss,Male,-,-,-,,Dark Horse Comics,-,good,
366,John Constantine,Male,blue,Human,Blond,183,DC Comics,-,good,
367,John Stewart,Male,green,Human,Black,185,DC Comics,-,good,90
368,John Wraith,Male,brown,-,Black,183,Marvel Comics,-,good,88
369,Joker,Male,green,Human,Green,196,DC Comics,white,bad,86
370,Jolt,Female,blue,-,Black,165,Marvel Comics,-,good,49
371,Jubilee,Female,red,Mutant,Black,165,Marvel Comics,-,good,52
372,Judge Dredd,Male,-,Human,-,188,Rebellion,-,good,
373,Juggernaut,Male,blue,Human,Red,287,Marvel Comics,-,neutral,855
374,Junkpile,Male,-,Mutant,-,,Marvel Comics,-,bad,
375,Justice,Male,hazel,Human,Brown,178,Marvel Comics,-,good,81
376,Jyn Erso,Female,green,Human,Brown,,George Lucas,-,good,
377,K-2SO,Male,white,Android,No Hair,213,George Lucas,gray,good,
378,Kang,Male,brown,-,Brown,191,Marvel Comics,-,bad,104
379,Karate Kid,Male,brown,Human,Brown,173,DC Comics,-,good,72
380,Kathryn Janeway,Female,-,Human,-,,Star Trek,-,good,
381,Katniss Everdeen,Female,-,Human,-,,,-,good,
382,Kevin 11,Male,-,Human,Black,,DC Comics,-,good,
383,Kick-Ass,Male,blue,Human,Blond,,Icon Comics,-,good,
384,Kid Flash,Male,green,Human,Red,,DC Comics,-,good,
385,Kid Flash II,Male,-,-,-,,DC Comics,-,good,
386,Killer Croc,Male,red,Metahuman,No Hair,244,DC Comics,green,bad,356
387,Killer Frost,Female,blue,Human,Blond,,DC Comics,blue,bad,
388,Kilowog,Male,red,Bolovaxian,No Hair,234,DC Comics,pink,good,324
389,King Kong,Male,yellow,Animal,Black,30.5,,-,good,
